case,K,T,D,score
971,12,21775,998,1210392
972,9,18736,18,180568
973,5,6325,151,948157
974,4,52897,58,411363
975,4,55062,1919,2232198
976,11,60053,3086,3333225
977,20,62961,7759,1501225
978,7,56248,40,302879
979,4,4448,10,1579056
980,8,19799,5918,2804365
981,17,8603,475,954475
982,17,16344,2553,2898668
983,10,15841,266,861275
984,10,6151,4219,2633093
985,16,21545,944,1626054
986,8,24773,5860,2951627
987,9,6482,28,626558
988,4,9088,14,347152
989,11,11504,38,249888
990,17,28101,3660,2509522
991,7,29990,5467,2792575
992,11,15391,25,194812
993,12,51533,185,680787
994,10,20507,98,455389
995,10,29568,1002,1524575
996,17,24733,8000,2068583
997,9,4199,24,920969
998,13,4946,1552,2022559
999,15,13023,183,582664
